timestamp,rss_kb,cpu_percent
1771744617,228896,44.1
1771744618,228944,1.2
1771744619,228944,0.2
1771744620,228944,0.3
1771744621,228928,0.0
1771744622,228928,0.0
1771744624,228944,0.0
1771744625,228944,0.0
1771744626,228944,0.0
1771744627,228944,0.0
1771744628,228944,0.0
1771744629,228944,0.0
1771744630,228944,0.0
1771744631,228944,0.0
1771744632,228960,0.0
1771744633,228960,0.1
1771744634,228976,0.1
1771744635,228976,0.0
1771744636,228976,0.0
1771744637,228976,0.2
1771744638,228976,0.3
1771744639,228976,0.0
1771744640,228976,0.0
1771744641,228976,0.0
1771744643,228976,0.0
1771744644,228976,0.0
1771744645,228976,0.1
1771744646,228976,0.0
1771744647,228976,0.0
1771744648,228976,0.0
1771744649,229024,0.4
1771744650,229024,0.0
1771744651,229024,0.0
1771744652,229024,0.0
1771744653,229024,0.0
1771744654,229024,0.2
1771744655,229024,0.3
1771744656,229024,0.0
1771744657,229024,0.0
1771744658,229024,0.0
1771744659,229056,1.5
1771744660,229104,0.1
1771744661,229104,0.0
1771744663,229104,0.0
1771744664,229104,0.0
1771744665,229104,0.0
1771744666,229104,0.0
1771744667,229104,0.0
1771744668,229104,0.0
1771744669,229104,0.0
1771744670,229104,0.0
1771744671,229104,0.0
1771744672,229104,0.0
1771744673,229120,0.0
1771744674,229120,0.0
1771744675,229120,0.0
1771744676,229056,0.0
